curso_sigla,periodo,codigo,CorDisciplina,nome,abreviacao,ch
EP,I,EP05005,#9bf6ff,ECOLOGIA,Ecologia,60
EP,I,EP05003,#fdffb6,INFORMATICA BASICA,Inform Basic,45
EP,I,EP05001,#ffadad,INGLES TECNICO,Ingles Tecn,60
EP,I,EP05006,#a0c4ff,INTRODUCAO A ENGENHARIA DE PESCA,Intr Eng Pesca,30
EP,I,EP05004,#caffbf,MATEMATICA BASICA,Matem Basic,90
EP,I,EP05002,#ffd6a5,METODOLOGIA CIENTIFICA,Metod Cient,45
EP,I,EP05073,#ffc6ff,QUIMICA BASICA,Quimi Basic,45
EP,I,EP05007,#bdb2ff,QUIMICA GERAL E ANALITICA,Quim Geral,90
EP,II,EP05010,#ffc2c2,BIOQUIMICA,Bioquimica,90
EP,II,EP05009,#ffdfd3,DESENHO TECNICO,Desen Tecn,60
EP,II,EP05011,#ffe2b9,ESTATISTICA BASICA,Estat Basic,45
EP,II,EP05008,#e0bbe4,MATEMATICA APLICADA,Matem Aplic,60
EP,II,EP05012,#feffcc,MECANICA BASICA,Mecan Basic,75
EP,II,EP05069,#adf9ff,TOPICOS ESPECIAIS EM AQUICULTURA,TE-Aquicultura,30
EP,II,EP05013,#d9ffcf,ZOOLOGIA AQUATICA,Zool Aquat,60
EP,III,EP05020,#f2c08f,BOTANICA AQUATICA,Botan Aquat,60
EP,III,EP05016,#ffd3ff,DESENHO COMPUTACIONAL,Desen Comput,60
EP,III,EP05017,#eccfe9,ECONOMIA,Economia,45
EP,III,EP05019,#f29898,ELETROMAGNETISMO,Eletromag,75
EP,III,EP05014,#b4d1ff,GEOMETRIA ANALITICA E ALGEBRA LINEAR,Geom Analit,60
EP,III,EP05015,#ccc6ff,ICTIOLOGIA,Ictiologia,45
EP,III,EP05018,#ffe8de,MICROBIOLOGIA DO PESCADO,Microb Pesc,60
EP,IV,EP05024,#8daeda,ECONOMIA APLICADA A PESCA E AQUICULTURA,Econo Aplic,60
EP,IV,EP05025,#a79cea,GEOLOGIA DE AMBIENTES AQUATICOS,Geol Amb Aquat,75
EP,IV,EP05021,#f0f2a0,MECANICA APLICADA,Mecan Aplic,45
EP,IV,EP05026,#f2b0f2,METEOROLOGIA FISICA E SINOTICA,Met. Fisic Sinot,60
EP,IV,EP05027,#cba5d0,QUALIDADE DO PESCADO,Quali Pesc,60
EP,IV,EP05022,#b7f2ab,TERMODINAMICA APLICADA,Termo Aplic,45
EP,IV,EP05070,#f2c9bb,TOPICOS ESPECIAIS EM ECOLOGIA AQUATICA,TE-Ecol Aquat,30
EP,IV,EP05023,#88e0ea,TOPOGRAFIA,Topografia,60
EP,V,EP05030,#feffd9,CARTOGRAFIA E GEOPROCESSAMENTO,Carto Geopr,60
EP,V,EP05033,#c9deff,ELABORACAO E AVALIACAO DE PROJETOS PESQUEIROS E AQUICOLAS,Elab Avali Proj,45
EP,V,EP05034,#dcd5ff,FISIOECOLOGIA DE ANIMAIS AQUATICOS,Fisiologia,75
EP,V,EP05029,#ffefcd,LIMNOLOGIA,Limno,75
EP,V,EP05032,#c0fcff,MAQUINAS E MOTORES,Maqui Motor,45
EP,V,EP05028,#ffd7d7,SOCIOLOGIA APLICADA AS COMUNIDADES PESQUEIRAS,Sociologia,45
EP,V,EP05031,#e3ffdd,TECNOLOGIA DO PESCADO,Tecno Pesca,60
EP,VI,EP05036,#f9e6ef,AQUICULTURA,Aquicultura,60
EP,VI,EP05039,#e5ac79,ENGENHARIA AQUICOLA,Engen Aquic,75
EP,VI,EP05038,#e58383,ENGENHARIA DO PROCESSAMENTO DO PESCADO,Eng Proce Pesc,45
EP,VI,EP05040,#e3e58a,GENETICA BASICA,Genet Basic,60
EP,VI,EP05037,#fff2ec,OCEANOGRAFIA,Oceanografia,75
EP,VI,EP05041,#a1e595,RELACOES ETNICO=RACIAIS E CIDADANIA,Relac Etnic Cida,30
EP,VI,EP05035,#ffe0ff,SANIDADE DE ORGANISMOS AQUATICOS,Sanidade,45
EP,VI,EP05071,#72cbd4,TOPICOS ESPECIAIS EM TECNOLOGIA DO PESCADO,TE Pescado,30
EP,VII,EP05047,#ffeded,CARCINICULTURA,Carcinicultura,45
EP,VII,EP05043,#9186f2,ESTAGIO SUPERVISIONADO OBRIGATORIO DE TECNOLOGIA DO PESCADO,ESO Tec Pesc,90
EP,VII,EP05042,#77b2f2,ESTATISTICA APLICADA A PESCA E AQUICULTURA,Estat Aplic Pesc,45
EP,VII,EP05044,#e59ae5,GENETICA APLICADA,Genet Aplic,60
EP,VII,EP05050,#f1ffeb,INTRODUCAO AO TRABALHO DE CONCLUSAO DE CURSO,Intro TCC,15
EP,VII,EP05049,#feffe6,NAVEGACAO BASICA,Naveg Basic,60
EP,VII,EP05046,#e5b9a5,PISCICULTURA,Piscicultura,60
EP,VII,EP05048,#fffcf1,TECNICAS APLICADAS DE EDUCACAO NAO FORMAL,Tecn Aplic Educ,45
EP,VII,EP05045,#b68fb9,TECNICAS DE PESCA,Tecni Pesca,45
EP,VIII,EP05052,#e6f0ff,CONFECCAO DE APETRECHOS DE PESCA,Confe Apetr Pesc,60
EP,VIII,EP05057,#d86e6e,DINAMICA DE POPULACOES PESQUEIRAS,Dinam Popul Pesq,45
EP,VIII,EP05051,#e1fdff,EMPREENDEDORISMO,Empreend,30
EP,VIII,EP05054,#fff1ff,ESTAGIO SUPERVISIONADO OBRIGATORIO DE AQUICULTURA,ESO Aquicult,90
EP,VIII,EP05055,#fff9fc,EXTENSAO PESQUEIRA E AQUICOLA,Exten Pesqu Aqui,60
EP,VIII,EP05058,#d89663,LIBRAS,Libra,30
EP,VIII,EP05053,#f1eeff,NUTRICAO DE ORGANISMOS AQUATICOS,Nutr Organ Aqua,60
EP,VIII,EP05056,#fffbf8,SISTEMAS DE NAVEGACAO,Siste Naveg,60
